Track ,Artist,Song,timestamp
Thinking About You,Zachariah,Thinking About You,2019-04-25T15:54:53Z
Gaby Blue,Hendrix Harris,Gaby Blue,2019-04-21T07:53:50Z
Something You Have,Native Harrow,Something You Have,2019-04-07T16:02:44Z
SETTLER'S PARADISE,Cautious Clay,Table of Context,2019-03-27T22:00:48Z
Hunter,Jessica Morale,Hunter,2019-04-12T15:34:20Z
Forces,Small Hours,Forces,2019-03-10T19:25:45Z
KUDOS,Ka-Li,KUDOS,2019-02-11T16:59:06Z
Awake in the Dark,Moods James Chatburn,Awake in the Dark,2019-02-03T00:24:14Z
Last Laugh,Nia Wyn,Last Laugh,2019-03-20T18:29:51Z
Someone Who Loves Me,Bridesmen,Someone Who Loves Me,2019-01-16T18:26:11Z
I'm Still Holding Out for You,Baby FuzZ,I'm Still Holding Out for You,2018-12-09T20:58:53Z
What Do You Wanna Know,Liv Gibson,What Do You Wanna Know,2019-03-27T02:32:42Z
Till The Music Stops,Andrew Waines,Till The Music Stops,2019-04-05T19:59:11Z
Blind,Lizzie Ross,Blind,2019-04-03T02:41:55Z
With Her,Kate Lynn,With Her,2019-04-06T16:31:31Z
In Need of Love,ARMANDO,In Need of Love,2019-04-04T19:04:40Z
Needed,Cilla,Needed,2019-04-03T03:56:13Z
Wine and Spirits,ShadowHood,Wine and Spirits,2019-03-28T22:19:56Z
Superstar,Diggin' Dirt,Superstar,2019-03-22T18:23:50Z
You Don't Care,Tommy Versailles,The Broken Palace - EP,2019-03-14T18:49:19Z
Drive By,Ay Wing Shuko,Drive By,2019-03-13T22:56:14Z
Hangin' On,Kyle Lacy,Hangin' on,2019-03-08T22:23:25Z
Changing (feat. Mick Jenkins),ARLO Mick Jenkins,Changing (feat. Mick Jenkins),2019-03-03T19:17:42Z
Call It Fate,Macey Estes,Call It Fate,2019-02-25T20:08:27Z
The Mess We've Become,After Funk,The Mess We've Become,2019-01-31T21:01:37Z
Not Good for Me,Vanmiran,Not Good for Me,2019-02-08T20:20:47Z
T.F.I.L,M'lynn,T.F.I.L,2019-02-03T21:06:52Z
Breathe,Jada Michael,Breathe,2019-01-31T22:31:45Z
queen,slenderbodies,soraya,2019-01-26T19:38:38Z
The Ways,COATS,The Ways,2019-01-27T22:56:30Z
Spend Some Time,Quinn DeVeaux,This Could Be Yours,2019-01-16T09:53:03Z
Left Alabama,Emily Chambers,Left Alabama,2019-01-18T21:11:25Z
Work,JON VINYL,Work,2019-01-12T18:27:22Z
Eve,Sam Hudgens,Eve,2019-01-12T17:48:46Z
I'm Through,Chris Godfrey,Generation Pains,2019-01-08T22:11:31Z
Cola Bottle Fizz,Superbird,Cola Bottle Fizz,2019-01-04T18:06:34Z
Wait for the Moment,Vulfpeck,My First Car,2019-01-03T07:12:05Z
Over and Over,Joseph of Mercury,Over and Over,2018-12-30T21:45:01Z
Communicate,Isaac Chambers Bluey Moon,Planet Fruition,2018-12-16T06:02:24Z
Get Through,rum.gold,Get Through,2018-12-12T20:35:48Z
Please Believe,Fossa Beats FKi 1st Allen Ritter,Please Believe,2018-12-07T20:12:01Z
I Gotta Feeling,Quincy Mumford,I Gotta Feeling,2018-11-30T23:31:11Z
My Everything,Aeolus White,Conventional Love,2018-11-28T22:35:42Z
I Think I Love You,The Suffers,Everything Here,2018-11-28T19:07:40Z
Tied Hands,The Rooks,Bend,2018-11-22T07:02:40Z
Promposal,Cody Dear Jada Banks-Mace,Promposal,2018-11-21T03:37:35Z
Dmmoy,Nomadic Sarah Yoon,Dmmoy,2018-11-18T19:41:34Z
I Need You,The Stone Mg's,I Need You,2018-11-17T09:25:14Z
Dungeon of My Heart,Jason Saltiel,Dungeon of My Heart,2018-11-14T19:23:05Z
Kingdom,Jordan Max,Tales of Us,2018-11-14T17:45:33Z
Afrowalk,MEI Sheila Maurice-Grey,Hurrygirl,2018-11-10T19:00:30Z
Waiting,The Rooks,Waiting,2018-11-09T17:38:32Z
You Wreck Me,Kaki Eddy Smith,You Wreck Me,2018-11-08T09:06:59Z
All Eyes,Aman Alem,All Eyes,2018-11-02T18:38:50Z
Yesterday Dreams,Cards,Yesterday Dreams,2018-10-16T17:24:52Z
Nuketown,Tiana Khasi,Nuketown,2018-10-03T17:02:15Z
I Can't Be You,Chersea,I Can't Be You,2018-09-22T23:47:44Z
Miracles,Cam Be Natalie Oliveri Yaw Jon Content Angele Anise Eric Reyes,7 Steps to 7,2018-09-21T19:27:30Z
Echo,Billy Fox,Echo,2018-09-10T18:21:49Z
Onatd,FHAT,Onatd,2018-09-08T04:28:21Z
Slow It Down,Julia Ryan,Slow It Down,2018-09-08T03:24:45Z
Certain Things,Lyves Jalen Santoy,Certain Things,2018-09-05T05:59:24Z
Rachel Green,Ruben Young Hodgy,Rachel Green,2018-08-28T16:33:23Z
Out Here,Foxie,Out Here,2018-08-26T05:01:55Z
Utopia,Saba Abraha,Sweet Mirage,2018-08-23T22:07:41Z
Crash,Sara Diamond,Crash,2018-08-19T00:45:03Z
Field Test - Wayside,Terrell Morris,Field Test (Wayside),2018-07-25T17:40:01Z
Silver Screen - Blakey vocal mix,JONES Blakey,New York,2018-06-29T16:58:25Z
This Is Better for You Than It Is for Me,Orfeo,This Is Better for You Than It Is for Me,2018-06-22T18:27:29Z
Finishing Touches,Dee Ajayi,Finishing Touches,2018-06-21T18:18:43Z
Down to Earth Cool Chick,Olivia Thai,Down to Earth Cool Chick,2018-06-21T16:56:23Z
Who Is This,Tiaryn,Who Is This,2018-06-09T18:18:44Z
A Little Darkness,SangLien Dale Randolph,A Little Darkness,2018-06-07T19:12:34Z
Coconuts,Figùra Shona,Place To Be,2018-06-07T16:32:29Z
No Rush,Hendrix Harris,No Rush,2018-05-31T20:44:56Z
Umm Hmm,Erykah Badu,New Amerykah Part Two: Return Of The Ankh,2018-05-31T18:14:46Z
Bravebird,Amel Larrieux,Bravebird,2018-05-31T18:16:40Z
Whatever - Remastered,Jill Scott,Golden Moments,2018-05-31T18:13:20Z
Big Easy,Raphael Saadiq The Infamous Young Spodie Rebirth Brass Band,The Way I See It,2018-05-31T18:16:11Z
don't give up,Lalah Hathaway Lecrae,honestly,2018-05-31T18:18:24Z
O Me O My - Gavin Moss Remix,Son Little Gavin Moss,O Me O My (Gavin Moss Remix),2018-05-31T18:20:16Z
If It Feels Good (Then It Must Be),Leon Bridges,Good Thing,2018-05-31T18:21:16Z
Always Be My Baby - Recorded at Sound Stage Nashville,Anderson East,Spotify Singles,2018-05-31T18:21:53Z
Compass,Jamie Lidell,Compass,2018-05-31T18:33:48Z
Saving Grace,Grace Carter,Saving Grace,2018-05-31T18:27:57Z
Round Midnight,Amy Winehouse,Frank,2018-05-31T18:30:43Z
Get Through This,Aaron Taylor,Get Through This,2018-05-31T18:25:58Z
Feels Like The First Time,Corinne Bailey Rae,The Sea,2018-05-31T18:32:13Z
Writing On The Wall,Anthony Hamilton,Back To Love (Deluxe Version),2018-05-31T19:00:53Z
Sometimes It Snows in April,Meshell Ndegeocello,Ventriloquism,2018-05-31T18:35:17Z
Heaven Only Knows,Musiq Soulchild,Feel The Real,2018-05-31T19:02:24Z
Better Days (Tommy Redding),Tommy Redding I-Rocc,I Apologize,2018-05-31T19:05:08Z
Flyin' High (In The Friendly Sky),Marvin Gaye,What's Going On - 40th Anniversary (Super Deluxe),2018-05-31T19:06:20Z
I Miss the Sex,Macy Gray,The Way,2018-05-31T18:34:45Z
I Believe to My Soul,Donny Hathaway,Never My Love: The Anthology,2018-05-31T19:07:37Z
Just Want to Be with You,Curtis Mayfield,Never Say You Can't Survive,2018-05-31T19:11:13Z
Close to Me,Bill Withers,Naked & Warm,2018-05-31T19:13:12Z
I'm Coming Home,The Spinners,The Rubberband Man,2018-05-31T19:14:44Z
Who Is She (And What Is She To You),Gladys Knight & The Pips,Neither One Of Us,2018-05-31T19:15:20Z
Let Me Breathe,Joss Stone,Water for Your Soul,2018-05-31T19:16:17Z
Chasing Pirates,Norah Jones,The Fall,2018-05-31T19:19:00Z
Maybe Your Baby,Stevie Wonder,Talking Book,2018-05-31T19:24:44Z
"Rock Steady - Alternate Mix - Young, Gifted and Black Outtake",Aretha Franklin,Rare & Unreleased Recordings From The Golden Reign Of The Queen Of Soul,2018-05-31T19:26:05Z
Smokin' & Drinkin',James Brown The J.B.'s,The Singles Vol. 11: 1979-1981,2018-05-31T19:28:35Z
Sugah Daddy,D'Angelo,Black Messiah,2018-06-22T05:27:27Z
Never Ever - Mike Cruz Radio Mix,Lisa Stansfield Mike Cruz,Never Ever,2018-08-06T17:09:03Z
Burn My Lights Out,Colyer,Beachwood Dr,2018-11-09T21:14:54Z
